Effectifs de décès

Chapitre: Asthme
Année: 2013
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;282;0;2;5;3;5;17;22;42;28;67;81;10;
'J45 -J46;Asthme;F;567;0;0;2;4;10;11;31;41;46;139;235;48;
'J45 -J46;Asthme;T;849;0;2;7;7;15;28;53;83;74;206;316;58;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;280071;1491;284;380;1828;3067;6542;17457;38131;48340;79122;76041;7388;
;Total toutes causes confondues;F;276147;1185;232;295;656;1202;3299;9029;18061;25646;66255;121896;28391;
;Total toutes causes confondues;T;556218;2676;516;675;2484;4269;9841;26486;56192;73986;145377;197937;35779;

