Effectifs de décès

Chapitre: Asthme
Année: 2010
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;316;1;3;3;3;8;18;31;42;39;95;63;10;
'J45 -J46;Asthme;F;609;0;0;4;4;1;18;29;58;57;168;214;56;
'J45 -J46;Asthme;T;925;1;3;7;7;9;36;60;100;96;263;277;66;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;274600;1538;270;396;2273;3446;7597;19307;39209;45310;82773;63448;9033;
;Total toutes causes confondues;F;264483;1199;240;285;762;1266;3713;9672;17903;24430;70978;100433;33602;
;Total toutes causes confondues;T;539083;2737;510;681;3035;4712;11310;28979;57112;69740;153751;163881;42635;

