Effectifs de décès

Chapitre: Asthme
Année: 2012
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;279;0;2;3;4;4;10;25;37;36;69;82;7;
'J45 -J46;Asthme;F;599;0;2;6;2;2;6;22;56;57;176;227;43;
'J45 -J46;Asthme;T;878;0;4;9;6;6;16;47;93;93;245;309;50;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;280702;1472;304;358;1995;3183;6751;18149;39204;46768;81005;73427;8086;
;Total toutes causes confondues;F;277538;1158;214;289;741;1244;3358;9341;18102;24821;69520;117711;31039;
;Total toutes causes confondues;T;558240;2630;518;647;2736;4427;10109;27490;57306;71589;150525;191138;39125;

