Effectifs de décès

Chapitre: Asthme
Année: 2011
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;265;0;0;3;7;9;20;21;34;34;71;52;14;
'J45 -J46;Asthme;F;572;0;0;2;3;5;10;32;45;68;155;203;49;
'J45 -J46;Asthme;T;837;0;0;5;10;14;30;53;79;102;226;255;63;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;272180;1420;268;399;2190;3360;7280;18752;38962;44986;80254;66162;8147;
;Total toutes causes confondues;F;262391;1149;225;273;777;1282;3561;9488;18168;23926;67715;105066;30761;
;Total toutes causes confondues;T;534571;2569;493;672;2967;4642;10841;28240;57130;68912;147969;171228;38908;

