Effectifs de décès

Chapitre: Asthme
Année: 2014
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;272;0;3;3;6;6;13;22;44;36;61;69;9;
'J45 -J46;Asthme;F;553;1;1;2;4;5;10;33;25;48;151;231;42;
'J45 -J46;Asthme;T;825;1;4;5;10;11;23;55;69;84;212;300;51;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;274262;1431;263;369;1693;3099;6062;16569;36843;48545;76045;76376;6967;
;Total toutes causes confondues;F;270478;1137;212;274;614;1198;3247;8851;17645;25723;63354;121691;26532;
;Total toutes causes confondues;T;544740;2568;475;643;2307;4297;9309;25420;54488;74268;139399;198067;33499;

