Effectifs de décès

Chapitre: Asthme
Année: 2015
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;278;0;4;5;1;8;12;26;45;40;51;68;18;
'J45 -J46;Asthme;F;575;0;0;2;3;5;5;24;43;54;132;253;54;
'J45 -J46;Asthme;T;853;0;4;7;4;13;17;50;88;94;183;321;72;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;289341;1463;284;396;1750;3054;6247;16547;37223;51654;78757;82920;9046;
;Total toutes causes confondues;F;290488;1153;213;278;670;1155;3099;8857;17813;27493;65243;132630;31884;
;Total toutes causes confondues;T;579829;2616;497;674;2420;4209;9346;25404;55036;79147;144000;215550;40930;

